price,bhk,area_sqft,parking
32500000.0,4.0,1400.0,0.0
15000000.0,3.0,1000.0,1.0
14500000.0,4.0,1200.0,1.0
18000000.0,4.0,3000.0,1.0
170000000.0,4.0,3300.0,0.0
82500000.0,3.0,2100.0,0.0
29800000.0,3.0,1450.0,0.0
5000000.0,3.0,1400.0,0.0
27500000.0,3.0,1600.0,0.0
23500000.0,2.0,1400.0,0.0
23800000.0,2.0,1500.0,0.0
47500000.0,4.0,2448.0,1.0
107500000.0,4.0,1400.0,0.0
4000000.0,2.0,450.0,0.0
35000000.0,4.0,1400.0,0.0
2000000.0,4.0,1400.0,0.0
3584000.0000000005,4.0,1400.0,0.0
5300000.0,3.0,1001.0,1.0
26000000.0,4.0,1600.0,1.0
134200000.0,4.0,1400.0,0.0
12500000.0,4.0,1300.0,1.0
10700000.0,4.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
30500000.0,4.0,2300.0,0.0
17000000.0,4.0,1400.0,0.0
44000000.0,4.0,1400.0,0.0
18000000.0,4.0,1400.0,0.0
41000000.0,3.0,2340.0,1.0
